sample1,sample2,bMNTD,BC,bNTI,RC,process,grupo
S7B1522,S6A3040,0.018447844986564436,0.5609593156465936,1.6675747608009421,1,Dispersal.Limitation,Fossil Lagoon
S7B3040,S6A3040,0.006257370022214886,0.3120222267245149,-0.231994693275548,0.4554554554554555,Undominated,Fossil Lagoon
S7B5060,S6A3040,0.0048365251732170045,0.2643995529400222,-0.7056046841081424,-0.8258258258258259,Undominated,Fossil Lagoon
S6B1522,S6B07,0.00794261901308935,0.3988696067375501,-0.513226215590783,-0.9379379379379379,Undominated,Fossil Lagoon
S6B3040,S6B07,0.0219409667910289,0.5131370892709853,3.4595887177713744,0.6676676676676676,Heterogeneous.Selection,Fossil Lagoon
S7A07,S6B07,0.013234966940842018,0.501514813959112,-0.416944929970637,0.4974974974974975,Undominated,Fossil Lagoon
S7A1522,S6B07,0.030355442081892742,0.6866303670773871,0.8367097605900476,1,Dispersal.Limitation,Fossil Lagoon
S7A3040,S6B07,0.04411295594491878,0.7037814701080802,4.8190581514970585,1,Heterogeneous.Selection,Fossil Lagoon
S7A5060,S6B07,0.07399878892313176,0.76588109289402,8.519731869468973,1,Heterogeneous.Selection,Fossil Lagoon
S7B07,S6B07,0.011567843039998763,0.44384708519431704,-1.9395556733950226,-0.6056056056056056,Undominated,Fossil Lagoon
S7B1522,S6B07,0.017949747539929832,0.5475619227924556,0.48126549442729744,0.927927927927928,Undominated,Fossil Lagoon
