n_nodes	n_edges	density	average_degree	max_degree	components	largest_component_prop	transitivity	natural_connectivity	average_path_length_lcc	modularity_louvain	prop_positive_edges	mean_abs_weight	robustness_auc_random	robustness_auc_targeted	dataset	network_group	bootstrap_id	n_samples_group	n_subsample	edge_density_target	ridge_lambda
200	398	0.02	3.98	23	91	0.54	0.64735516372796	7.51626203500064	4.22118380062305	0.728990429534608	0.819095477386935	0.038820513925885	0.195	0.08125	depth_natural	Coastal_natural	34	13	13	0.02	0.1
200	398	0.02	3.98	30	83	0.525	0.54940161424993	6.17079697393743	3.31923076923077	0.668834120350496	0.758793969849246	0.0377677111470838	0.204125	0.058875	depth_natural	Coastal_natural	35	13	13	0.02	0.1
200	398	0.02	3.98	14	66	0.57	0.545454545454545	5.10187727197537	4.09392951405061	0.701582662053989	0.78391959798995	0.0359602022881863	0.249	0.10675	depth_natural	Coastal_natural	36	13	13	0.02	0.1
200	398	0.02	3.98	21	62	0.595	0.468431771894094	5.59465890763827	3.9376157242558	0.644453422893361	0.781407035175879	0.0350480255396044	0.258625	0.091125	depth_natural	Coastal_natural	37	13	13	0.02	0.1
200	398	0.02	3.98	17	67	0.61	0.434683954619125	5.48623558292294	3.76818859233166	0.621471048710891	0.78643216080402	0.0395065534586102	0.234	0.084	depth_natural	Coastal_natural	38	13	13	0.02	0.1
200	398	0.02	3.98	19	66	0.59	0.542130919220056	4.8490886214793	4.14703751991888	0.732895002651448	0.826633165829146	0.0395812984397811	0.21975	0.08525	depth_natural	Coastal_natural	39	13	13	0.02	0.1
200	398	0.02	3.98	25	85	0.49	0.586244541484716	8.00515266288619	3.69724384599201	0.674446352364839	0.728643216080402	0.0376179999231408	0.20075	0.06275	depth_natural	Coastal_natural	40	13	13	0.02	0.1
200	398	0.02	3.98	16	83	0.51	0.691888619854721	6.48044882278506	4.42127742185983	0.762654352162824	0.78391959798995	0.0376862769984389	0.19725	0.08525	depth_natural	Coastal_natural	41	13	13	0.02	0.1
200	398	0.02	3.98	13	60	0.63	0.6002326483133	4.84043835597133	4.85650793650794	0.780387490214894	0.791457286432161	0.0396568087305466	0.19925	0.09025	depth_natural	Coastal_natural	42	13	13	0.02	0.1
200	398	0.02	3.98	17	61	0.55	0.547699214365881	4.99913181957641	3.98815679733111	0.727929850256307	0.85678391959799	0.0395610736498323	0.21275	0.08875	depth_natural	Coastal_natural	43	13	13	0.02	0.1
200	398	0.02	3.98	19	84	0.525	0.520872865275142	5.86749436723124	3.65457875457875	0.662587434660741	0.791457286432161	0.0363095341064144	0.235375	0.082875	depth_natural	Coastal_natural	44	13	13	0.02	0.1
200	398	0.02	3.98	21	79	0.565	0.449684589966957	6.27276524689218	3.59149810366625	0.612370899724755	0.695979899497487	0.0360337582685247	0.225875	0.077125	depth_natural	Coastal_natural	45	13	13	0.02	0.1
200	398	0.02	3.98	22	81	0.55	0.433287482806052	6.45152003003638	3.29824854045038	0.588709881063609	0.748743718592965	0.0367365912061674	0.2505	0.07225	depth_natural	Coastal_natural	46	13	13	0.02	0.1
200	398	0.02	3.98	20	66	0.645	0.356486210418795	4.28471598205557	3.50859980620155	0.589129693694604	0.701005025125628	0.0424838743463958	0.264125	0.097875	depth_natural	Coastal_natural	47	13	13	0.02	0.1
200	398	0.02	3.98	21	61	0.55	0.578635014836795	4.89327334515222	4.50258548790659	0.756151991111336	0.796482412060301	0.0389821599622147	0.199	0.09775	depth_natural	Coastal_natural	48	13	13	0.02	0.1
200	398	0.02	3.98	18	107	0.39	0.776286353467561	10.3426316073278	3.38927738927739	0.691696548066968	0.675879396984925	0.0295926835939443	0.1685	0.046	depth_natural	Coastal_natural	49	13	13	0.02	0.1
200	398	0.02	3.98	23	56	0.67	0.507297970808117	5.28164592734038	4.11020087532263	0.691734425898336	0.826633165829146	0.0401746831673316	0.23675	0.11325	depth_natural	Coastal_natural	50	13	13	0.02	0.1
200	398	0.02	3.98	20	71	0.57	0.568667344862665	5.04507560662534	3.79770222015215	0.743188303325674	0.78391959798995	0.0401776366061469	0.23475	0.069	depth_natural	Coastal_natural	51	13	13	0.02	0.1
